epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1902.63,0.53517,3.19315,1.75221,0.62732,0.64373,0.64962,0.64757,0.19459,1.07423,0.31075,7.93166e-05,7.93166e-05,7.93166e-05
2,3649.77,0.11732,1.08845,0.97135,0.87626,0.85679,0.92196,0.92183,0.14695,0.66344,0.23371,0.000142944,0.000142944,0.000142944
3,5340.63,0.0879,0.57741,0.94031,0.92872,0.95968,0.97844,0.97842,0.14714,0.45552,0.2178,0.000190863,0.000190863,0.000190863
4,6998.97,0.07265,0.37828,0.92597,0.96776,0.96657,0.98702,0.987,0.12933,0.34281,0.18737,0.000167314,0.000167314,0.000167314
5,8653.81,0.0598,0.27595,0.91818,0.97891,0.9806,0.99055,0.99054,0.13647,0.30699,0.19313,0.000143752,0.000143752,0.000143752
6,10315.7,0.05211,0.21653,0.91451,0.98289,0.98322,0.99222,0.99222,0.12488,0.29581,0.17412,0.00012019,0.00012019,0.00012019
7,11975.2,0.04524,0.17357,0.91106,0.98786,0.98445,0.99286,0.99286,0.11798,0.27068,0.16205,9.6628e-05,9.6628e-05,9.6628e-05
8,13652.5,0.03981,0.14184,0.90813,0.98931,0.99108,0.99341,0.9934,0.1213,0.25365,0.16237,7.3066e-05,7.3066e-05,7.3066e-05
9,15385.9,0.0355,0.11649,0.90654,0.98996,0.99296,0.99362,0.99362,0.1173,0.24449,0.15499,4.9504e-05,4.9504e-05,4.9504e-05
10,17056.2,0.0303,0.09513,0.90634,0.99192,0.9905,0.99349,0.99349,0.1109,0.24981,0.14647,2.5942e-05,2.5942e-05,2.5942e-05
